what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316450851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316454783
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1529316459973
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1529316459993
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1529316460156
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1529316460237
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1529316460250
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1529316460254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316460530
error,log,,,"Provisioning exception",1529316460969
error,log,,,"Provisioning exception",1529316461237
error,log,,,"Some sites could not be found.  See the error log for more detail.",1529316461267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316470905
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1529316470920
activated,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1529316472970
closed,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.ComponentNameBrowser",1529316472989
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1529316475085
activated,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1529316476528
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1529316477498
activated,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1529316478295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316487262
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316495471
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1529316507516
activated,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1529316507530
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1529316507601
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529316507668
closed,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1529316507681
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529316508277
activated,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1529316508943
closed,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1529316508961
closed,view,org.eclipse.jubula.client.ui,1.1.0.201109140653,"org.eclipse.jubula.client.ui.views.TestSuiteBrowser",1529316510989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316536548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1529316538381
